0, 0, 497.58, 3.52, 527.47, 3.52, 90.55, 1.76, 11.43, 2.20, 29.89, 1.76, 7.47, 3.52, 30.33, 2.64, 9.23, 3.96, 
0, 1, 507.25, 3.08, 494.51, 3.52, 6.59, 1.76, 26.37, 2.20, 7.03, 3.08, 27.69, 2.20, 7.03, 1.76, 26.37, 2.64, 
0, 2, 36.04, 234.29, 156.04, 1.32, 3.52, 0.88, 3.08, 3.08, 3.52, 2.20, 2.20, 4.40, 3.52, 2.20, 3.96, 3.96, 
0, 3, 160.88, 2.64, 8.79, 235.16, 0.44, 3.08, 3.08, 1.76, 3.08, 1.76, 2.64, 2.20, 3.96, 2.64, 2.64, 2.64, 
0, 4, 36.48, 2.20, 9.23, 1.76, 497.14, 1.76, 511.65, 3.96, 93.19, 1.76, 12.75, 3.08, 32.53, 3.96, 8.79, 2.20, 
0, 5, 11.87, 2.64, 31.21, 2.20, 528.79, 1.76, 498.02, 2.64, 10.11, 2.20, 30.33, 3.08, 6.59, 2.64, 30.33, 3.08, 
0, 6, 2.20, 3.52, 3.08, 1.76, 4.40, 233.85, 150.33, 1.32, 2.20, 3.52, 3.08, 3.08, 1.76, 1.76, 1.32, 2.64, 
0, 7, 2.64, 2.64, 3.08, 2.20, 149.89, 2.64, 6.15, 236.04, 2.64, 1.76, 0.88, 2.64, 3.52, 2.64, 1.76, 1.76, 
0, 8, 36.04, 2.20, 7.47, 2.20, 29.45, 1.32, 7.47, 2.64, 499.78, 3.08, 507.69, 0.88, 90.55, 2.64, 11.43, 1.32, 
0, 9, 10.11, 2.64, 25.49, 3.08, 4.84, 2.20, 27.69, 1.32, 520.88, 4.84, 498.02, 3.52, 7.03, 3.52, 27.25, 3.08, 
0, 10, 3.08, 2.64, 1.32, 2.20, 3.08, 3.08, 3.08, 3.08, 3.96, 236.48, 154.29, 2.64, 1.76, 3.08, 2.20, 3.52, 
0, 11, 2.64, 1.76, 1.76, 1.32, 2.20, 2.64, 2.64, 2.20, 149.45, 3.08, 8.79, 234.73, 2.64, 3.96, 3.08, 3.08, 
0, 12, 3.52, 2.20, 16.70, 2.64, 27.25, 2.20, 8.79, 2.20, 33.85, 3.08, 9.67, 2.20, 497.58, 3.52, 515.16, 4.40, 
0, 13, 22.86, 0.88, 28.13, 2.64, 6.15, 2.20, 24.62, 2.64, 10.55, 1.32, 26.37, 3.08, 527.91, 2.20, 494.51, 1.32, 
0, 14, 1.76, 3.96, 3.08, 2.64, 2.64, 3.96, 3.52, 3.52, 5.27, 1.76, 3.52, 2.20, 6.15, 236.92, 156.92, 2.20, 
0, 15, 3.52, 2.64, 2.64, 2.20, 2.64, 2.20, 2.64, 1.76, 3.52, 1.76, 1.76, 3.52, 151.21, 3.52, 7.03, 235.16, 
0, 16, 2.20, 2.20, 2.64, 3.08, 3.52, 2.20, 1.76, 1.76, 2.20, 1.32, 3.96, 2.64, 3.08, 2.64, 2.64, 2.64, 
